,ba_1k_2k,ba_1k_4k,geo1k_4k
0,1996,3984,4000
1,18964,60513,17173
2,73,461,5477
3,127585,769688,77191
4,187116,720578,13404
5,243,3773,728
6,5121,44013,44481
7,56,1070,11786
8,0,16,4233
9,727200,8493130,339263
10,3308632,24599167,181493
11,2062292,9447264,3853
12,97211,1248767,118296
13,26476,426871,209219
14,109147,1082910,33086
15,1082,29912,1253
16,19960,420074,8986
17,4078,99214,37075
18,459,8611,22472
19,1578,50664,79118
20,55,2695,16
21,456,18221,4473
22,21,1214,2787
23,0,2774,32403
24,47,3578,22513
25,8,785,716
26,0,273,18232
27,0,50,943
28,0,9,6114
29,0,0,2226
